FPN,PKGD,TSTD,ASMBLD,MODULE,CHIP,DIE,WAFER,FAB_OUT,RAW
FPN-0014,PKGD-0014,TSTD-0014,ASMBLD-0014,MODULE-0014-B,CHIP-0014-02,DIE-1402,WAFER-1402,FAB-1402,RAW-1402
FPN-0014,PKGD-0014,TSTD-0014,ASMBLD-0014,MODULE-0014-B,CHIP-0014-03,DIE-1403,WAFER-1403,FAB-1403,RAW-1403
FPN-0014,PKGD-0014,TSTD-0014,ASMBLD-0014,MODULE-0014-C,CHIP-0014-02,DIE-1402,WAFER-1402,FAB-1402,RAW-1402
FPN-0014,PKGD-0014,TSTD-0014,ASMBLD-0014,MODULE-0014-C,CHIP-0014-04,DIE-1404,WAFER-1404,FAB-1404,RAW-1404
FPN-0015,PKGD-0015,TSTD-0015,ASMBLD-0015,MODULE-0015-A,CHIP-0015-01,DIE-1501,WAFER-1501,FAB-1501,RAW-1501
FPN-0015,PKGD-0015,TSTD-0015,ASMBLD-0015,MODULE-0015-A,CHIP-0015-02,DIE-1502,WAFER-1502,FAB-1502,RAW-1502
FPN-0016,PKGD-0016,TSTD-0016,ASMBLD-0016,MODULE-0016-A,CHIP-0016-01,DIE-1601,WAFER-1601,FAB-1601,RAW-1601
FPN-0016,PKGD-0016,TSTD-0016,ASMBLD-0016,MODULE-0016-A,CHIP-0016-02,DIE-1602,WAFER-1602,FAB-1602,RAW-1602
FPN-0017,PKGD-0017,TSTD-0017,ASMBLD-0017,MODULE-0017-A,CHIP-0017-01,DIE-1701,WAFER-1701,FAB-1701,RAW-1701
FPN-0018,PKGD-0018,TSTD-0018,ASMBLD-0018,MODULE-0018-A,CHIP-0018-01,DIE-1801,WAFER-1801,FAB-1801,RAW-1801
FPN-0018,PKGD-0018,TSTD-0018,ASMBLD-0018,MODULE-0018-A,CHIP-0018-02,DIE-1802,WAFER-1802,FAB-1802,RAW-1802
FPN-0018,PKGD-0018,TSTD-0018,ASMBLD-0018,MODULE-0018-B,CHIP-0018-01,DIE-1801,WAFER-1801,FAB-1801,RAW-1801
FPN-0018,PKGD-0018,TSTD-0018,ASMBLD-0018,MODULE-0018-B,CHIP-0018-03,DIE-1803,WAFER-1803,FAB-1803,RAW-1803
FPN-0019,PKGD-0019,TSTD-0019,ASMBLD-0019,MODULE-0019-A,CHIP-0019-01,DIE-1901,WAFER-1901,FAB-1901,RAW-1901
FPN-0019,PKGD-0019,TSTD-0019,ASMBLD-0019,MODULE-0019-A,CHIP-0019-02,DIE-1902,WAFER-1902,FAB-1902,RAW-1902
FPN-0019,PKGD-0019,TSTD-0019,ASMBLD-0019,MODULE-0019-B,CHIP-0019-02,DIE-1902,WAFER-1902,FAB-1902,RAW-1902
FPN-0019,PKGD-0019,TSTD-0019,ASMBLD-0019,MODULE-0019-B,CHIP-0019-03,DIE-1903,WAFER-1903,FAB-1903,RAW-1903
FPN-0020,PKGD-0020,TSTD-0020,ASMBLD-0020,MODULE-0020-A,CHIP-0020-01,DIE-2001,WAFER-2001,FAB-2001,RAW-2001
FPN-0020,PKGD-0020,TSTD-0020,ASMBLD-0020,MODULE-0020-B,CHIP-0020-02,DIE-2002,WAFER-2002,FAB-2002,RAW-2002
FPN-0020,PKGD-0020,TSTD-0020,ASMBLD-0020,MODULE-0020-C,CHIP-0020-03,DIE-2003,WAFER-2003,FAB-2003,RAW-2003
FPN-0020,PKGD-0020,TSTD-0020,ASMBLD-0020,MODULE-0020-C,CHIP-0020-02,DIE-2002,WAFER-2002,FAB-2002,RAW-2002
