HDR_MATERIAL,HDR_MATL_GROUP,COMP_MATERIAL,COMP_MATL_GROUP,COMP_QTY,HEADER_QTY,PLANT,BOM_ALT,BOM_STATUS,BOM_USG,ITEM_NO,VALID_FROM,VALID_TO,DEL_FLAG
WAFER-0704,WAFER,FAB-0704,FAB_OUT,1,1,PLT01,01,01,1,10,2025-06-17,2027-02-16,
FAB-0704,FAB_OUT,RAW-0704,RAW,3,1,PLT01,01,01,1,10,2027-12-07,2029-04-23,
CHIP-0007-05,CHIP,DIE-0705,DIE,3,1,PLT01,01,01,1,10,2026-02-23,2028-07-07,
DIE-0705,DIE,WAFER-0705,WAFER,3,1,PLT01,01,01,1,10,2026-05-04,2027-07-29,
WAFER-0705,WAFER,FAB-0705,FAB_OUT,2,1,PLT01,01,01,1,10,2025-09-26,2028-02-10,
FAB-0705,FAB_OUT,RAW-0705,RAW,3,1,PLT01,01,01,1,10,2026-09-07,2028-06-16,
FPN-0008,FPN,PKGD-0008,PKGD,1,1,PLT02,01,01,1,10,2025-01-20,2026-10-31,
PKGD-0008,PKGD,TSTD-0008,TSTD,1,1,PLT02,01,01,1,10,2025-07-24,2026-04-05,
TSTD-0008,TSTD,ASMBLD-0008,ASMBLD,1,1,PLT02,01,01,1,10,2026-03-13,2028-02-09,
ASMBLD-0008,ASMBLD,MODULE-0008-A,MODULE,1,1,PLT02,01,01,1,10,2025-09-29,2027-03-20,
ASMBLD-0008,ASMBLD,MODULE-0008-B,MODULE,1,1,PLT02,01,01,1,20,2025-05-21,2026-07-25,
MODULE-0008-A,MODULE,CHIP-0008-01,CHIP,3,1,PLT02,01,01,1,30,2027-06-17,2029-06-22,
MODULE-0008-A,MODULE,CHIP-0008-02,CHIP,3,1,PLT02,01,01,1,88,2027-12-20,2028-06-25,
MODULE-0008-B,MODULE,CHIP-0008-03,CHIP,1,1,PLT02,01,01,1,27,2026-06-26,2027-04-20,
MODULE-0008-B,MODULE,CHIP-0008-04,CHIP,2,1,PLT02,01,01,1,44,2026-08-01,2028-10-08,
CHIP-0008-01,CHIP,DIE-0801,DIE,2,1,PLT02,01,01,1,10,2026-12-04,2027-12-27,
DIE-0801,DIE,WAFER-0801,WAFER,3,1,PLT02,01,01,1,10,2027-11-02,2029-09-12,
WAFER-0801,WAFER,FAB-0801,FAB_OUT,2,1,PLT02,01,01,1,10,2025-04-15,2026-01-14,
FAB-0801,FAB_OUT,RAW-0801,RAW,3,1,PLT02,01,01,1,10,2027-05-18,2028-08-23,
CHIP-0008-02,CHIP,DIE-0802,DIE,1,1,PLT02,01,01,1,10,2025-01-08,2026-06-13,
DIE-0802,DIE,WAFER-0802,WAFER,2,1,PLT02,01,01,1,10,2026-06-21,2027-06-01,
WAFER-0802,WAFER,FAB-0802,FAB_OUT,2,1,PLT02,01,01,1,10,2027-05-26,2029-06-18,
FAB-0802,FAB_OUT,RAW-0802,RAW,1,1,PLT02,01,01,1,10,2025-08-18,2026-05-02,
CHIP-0008-03,CHIP,DIE-0803,DIE,2,1,PLT02,01,01,1,10,2025-03-15,2026-09-24,
DIE-0803,DIE,WAFER-0803,WAFER,2,1,PLT02,01,01,1,10,2027-05-31,2028-04-05,
WAFER-0803,WAFER,FAB-0803,FAB_OUT,1,1,PLT02,01,01,1,10,2026-09-24,2028-03-30,
FAB-0803,FAB_OUT,RAW-0803,RAW,1,1,PLT02,01,01,1,10,2027-01-03,2028-02-02,
CHIP-0008-04,CHIP,DIE-0804,DIE,2,1,PLT02,01,01,1,10,2025-07-30,2027-01-23,
DIE-0804,DIE,WAFER-0804,WAFER,4,1,PLT02,01,01,1,10,2025-11-13,2027-01-09,
WAFER-0804,WAFER,FAB-0804,FAB_OUT,1,1,PLT02,01,01,1,10,2025-12-29,2027-08-23,
FAB-0804,FAB_OUT,RAW-0804,RAW,1,1,PLT02,01,01,1,10,2026-01-03,2028-07-25,
FPN-0009,FPN,PKGD-0009,PKGD,1,1,PLT02,02,01,1,10,2026-05-24,2027-08-20,
PKGD-0009,PKGD,TSTD-0009,TSTD,1,1,PLT02,02,01,1,10,2025-11-23,2028-08-05,
TSTD-0009,TSTD,ASMBLD-0009,ASMBLD,1,1,PLT02,02,01,1,10,2025-08-10,2027-03-04,
FPN-0010,FPN,PKGD-0010,PKGD,1,1,PLT02,01,01,1,10,2026-02-13,2027-11-26,
PKGD-0010,PKGD,TSTD-0010,TSTD,1,1,PLT02,01,01,1,10,2026-12-18,2028-04-23,
TSTD-0010,TSTD,ASMBLD-0010,ASMBLD,1,1,PLT02,01,01,1,10,2026-04-12,2027-05-25,
FPN-0011,FPN,PKGD-0011,PKGD,1,1,PLT03,01,01,1,10,2027-03-28,2028-08-25,
PKGD-0011,PKGD,TSTD-0011,TSTD,1,1,PLT03,01,01,1,10,2026-07-25,2027-04-02,
TSTD-0011,TSTD,ASMBLD-0011,ASMBLD,1,1,PLT03,01,01,1,10,2026-07-26,2028-01-16,
ASMBLD-0011,ASMBLD,MODULE-0011-A,MODULE,1,1,PLT03,01,01,1,10,2026-11-10,2027-06-06,
ASMBLD-0011,ASMBLD,MODULE-0011-B,MODULE,1,1,PLT03,01,01,1,20,2025-08-25,2026-11-15,
ASMBLD-0011,ASMBLD,MODULE-0011-C,MODULE,1,1,PLT03,01,01,1,30,2026-01-01,2028-02-14,
MODULE-0011-A,MODULE,CHIP-0011-01,CHIP,1,1,PLT03,01,01,1,23,2027-06-09,2028-11-23,
MODULE-0011-A,MODULE,CHIP-0011-02,CHIP,3,1,PLT03,01,01,1,65,2027-11-14,2028-09-07,
MODULE-0011-B,MODULE,CHIP-0011-03,CHIP,2,1,PLT03,01,01,1,42,2025-04-01,2027-09-23,
MODULE-0011-B,MODULE,CHIP-0011-04,CHIP,2,1,PLT03,01,01,1,56,2027-06-03,2028-02-09,
MODULE-0011-C,MODULE,CHIP-0011-05,CHIP,1,1,PLT03,01,01,1,48,2027-11-05,2029-03-15,
MODULE-0011-C,MODULE,CHIP-0011-06,CHIP,3,1,PLT03,01,01,1,61,2026-08-29,2028-09-14,
CHIP-0011-01,CHIP,DIE-1101,DIE,2,1,PLT03,01,01,1,10,2026-01-28,2027-09-30,
DIE-1101,DIE,WAFER-1101,WAFER,4,1,PLT03,01,01,1,10,2025-12-23,2028-03-12,
WAFER-1101,WAFER,FAB-1101,FAB_OUT,2,1,PLT03,01,01,1,10,2027-04-12,2029-04-22,
FAB-1101,FAB_OUT,RAW-1101,RAW,1,1,PLT03,01,01,1,10,2026-09-15,2028-01-01,
CHIP-0011-02,CHIP,DIE-1102,DIE,2,1,PLT03,01,01,1,10,2027-05-31,2030-02-08,
DIE-1102,DIE,WAFER-1102,WAFER,3,1,PLT03,01,01,1,10,2027-08-11,2029-05-04,
WAFER-1102,WAFER,FAB-1102,FAB_OUT,2,1,PLT03,01,01,1,10,2026-03-14,2028-02-15,
FAB-1102,FAB_OUT,RAW-1102,RAW,2,1,PLT03,01,01,1,10,2025-12-14,2028-04-16,
CHIP-0011-03,CHIP,DIE-1103,DIE,1,1,PLT03,01,01,1,10,2026-08-05,2028-07-12,
DIE-1103,DIE,WAFER-1103,WAFER,3,1,PLT03,01,01,1,10,2025-07-11,2028-02-15,
WAFER-1103,WAFER,FAB-1103,FAB_OUT,1,1,PLT03,01,01,1,10,2026-09-28,2027-11-12,
FAB-1103,FAB_OUT,RAW-1103,RAW,1,1,PLT03,01,01,1,10,2025-10-29,2026-05-22,
CHIP-0011-04,CHIP,DIE-1104,DIE,1,1,PLT03,01,01,1,10,2026-05-17,2028-03-13,
DIE-1104,DIE,WAFER-1104,WAFER,1,1,PLT03,01,01,1,10,2027-07-22,2029-03-17,
WAFER-1104,WAFER,FAB-1104,FAB_OUT,1,1,PLT03,01,01,1,10,2027-02-26,2029-01-12,
FAB-1104,FAB_OUT,RAW-1104,RAW,2,1,PLT03,01,01,1,10,2026-05-15,2027-04-11,
CHIP-0011-05,CHIP,DIE-1105,DIE,1,1,PLT03,01,01,1,10,2025-08-07,2028-04-10,
DIE-1105,DIE,WAFER-1105,WAFER,4,1,PLT03,01,01,1,10,2026-03-25,2027-03-20,
WAFER-1105,WAFER,FAB-1105,FAB_OUT,2,1,PLT03,01,01,1,10,2025-04-13,2027-05-03,
FAB-1105,FAB_OUT,RAW-1105,RAW,1,1,PLT03,01,01,1,10,2025-09-06,2027-06-15,
CHIP-0011-06,CHIP,DIE-1106,DIE,2,1,PLT03,01,01,1,10,2027-08-10,2029-12-20,
DIE-1106,DIE,WAFER-1106,WAFER,3,1,PLT03,01,01,1,10,2027-06-26,2029-09-10,
WAFER-1106,WAFER,FAB-1106,FAB_OUT,2,1,PLT03,01,01,1,10,2027-07-03,2028-06-09,
FAB-1106,FAB_OUT,RAW-1106,RAW,3,1,PLT03,01,01,1,10,2027-08-31,2029-06-01,
FPN-0012,FPN,PKGD-0012,PKGD,1,1,PLT02,01,01,1,10,2026-07-22,2029-03-12,
PKGD-0012,PKGD,TSTD-0012,TSTD,1,1,PLT02,01,01,1,10,2027-12-04,2029-10-10,
TSTD-0012,TSTD,ASMBLD-0012,ASMBLD,1,1,PLT02,01,01,1,10,2026-05-05,2027-08-09,
ASMBLD-0012,ASMBLD,MODULE-0012-A,MODULE,1,1,PLT02,01,01,1,10,2025-06-08,2027-12-05,
ASMBLD-0012,ASMBLD,MODULE-0012-B,MODULE,1,1,PLT02,01,01,1,20,2026-08-09,2027-10-03,
ASMBLD-0012,ASMBLD,MODULE-0012-C,MODULE,1,1,PLT02,01,01,1,30,2026-07-11,2027-12-16,
MODULE-0012-A,MODULE,CHIP-0012-01,CHIP,1,1,PLT02,01,01,1,27,2025-11-05,2026-12-26,
MODULE-0012-A,MODULE,CHIP-0012-02,CHIP,4,1,PLT02,01,01,1,29,2026-03-15,2026-11-15,
MODULE-0012-B,MODULE,CHIP-0012-03,CHIP,4,1,PLT02,01,01,1,63,2025-05-08,2026-06-03,
MODULE-0012-B,MODULE,CHIP-0012-04,CHIP,4,1,PLT02,01,01,1,84,2025-02-10,2027-10-01,
MODULE-0012-C,MODULE,CHIP-0012-05,CHIP,3,1,PLT02,01,01,1,48,2027-03-10,2028-11-08,
MODULE-0012-C,MODULE,CHIP-0012-06,CHIP,2,1,PLT02,01,01,1,72,2026-03-26,2027-06-28,
CHIP-0012-01,CHIP,DIE-1201,DIE,4,1,PLT02,01,01,1,10,2027-09-22,2028-04-18,
DIE-1201,DIE,WAFER-1201,WAFER,4,1,PLT02,01,01,1,10,2026-11-20,2029-04-02,
WAFER-1201,WAFER,FAB-1201,FAB_OUT,2,1,PLT02,01,01,1,10,2025-12-05,2027-09-24,
FAB-1201,FAB_OUT,RAW-1201,RAW,1,1,PLT02,01,01,1,10,2027-12-30,2028-07-24,
CHIP-0012-02,CHIP,DIE-1202,DIE,4,1,PLT02,01,01,1,10,2025-02-25,2025-11-17,
DIE-1202,DIE,WAFER-1202,WAFER,4,1,PLT02,01,01,1,10,2025-10-05,2027-07-19,
WAFER-1202,WAFER,FAB-1202,FAB_OUT,1,1,PLT02,01,01,1,10,2025-04-13,2026-07-03,
FAB-1202,FAB_OUT,RAW-1202,RAW,2,1,PLT02,01,01,1,10,2026-11-02,2027-12-03,
CHIP-0012-03,CHIP,DIE-1203,DIE,4,1,PLT02,01,01,1,10,2026-11-01,2028-04-09,
DIE-1203,DIE,WAFER-1203,WAFER,4,1,PLT02,01,01,1,10,2026-07-24,2029-02-28,
WAFER-1203,WAFER,FAB-1203,FAB_OUT,2,1,PLT02,01,01,1,10,2026-06-01,2027-02-19,
FAB-1203,FAB_OUT,RAW-1203,RAW,2,1,PLT02,01,01,1,10,2025-02-09,2027-09-14,
CHIP-0012-04,CHIP,DIE-1204,DIE,1,1,PLT02,01,01,1,10,2026-12-18,2028-01-31,
DIE-1204,DIE,WAFER-1204,WAFER,1,1,PLT02,01,01,1,10,2025-03-24,2027-11-01,
WAFER-1204,WAFER,FAB-1204,FAB_OUT,1,1,PLT02,01,01,1,10,2026-05-22,2027-06-10,
FAB-1204,FAB_OUT,RAW-1204,RAW,1,1,PLT02,01,01,1,10,2025-11-09,2027-01-07,
CHIP-0012-05,CHIP,DIE-1205,DIE,2,1,PLT02,01,01,1,10,2027-08-28,2030-01-09,
DIE-1205,DIE,WAFER-1205,WAFER,1,1,PLT02,01,01,1,10,2026-03-23,2028-01-08,
WAFER-1205,WAFER,FAB-1205,FAB_OUT,2,1,PLT02,01,01,1,10,2027-01-26,2028-01-12,
FAB-1205,FAB_OUT,RAW-1205,RAW,3,1,PLT02,01,01,1,10,2025-08-23,2028-04-25,
CHIP-0012-06,CHIP,DIE-1206,DIE,2,1,PLT02,01,01,1,10,2026-09-30,2027-07-17,
DIE-1206,DIE,WAFER-1206,WAFER,1,1,PLT02,01,01,1,10,2026-10-01,2028-11-08,
WAFER-1206,WAFER,FAB-1206,FAB_OUT,2,1,PLT02,01,01,1,10,2027-03-24,2029-09-21,
FAB-1206,FAB_OUT,RAW-1206,RAW,1,1,PLT02,01,01,1,10,2025-06-05,2027-07-31,
FPN-0013,FPN,PKGD-0013,PKGD,1,1,PLT03,01,01,1,10,2025-07-28,2028-01-07,
PKGD-0013,PKGD,TSTD-0013,TSTD,1,1,PLT03,01,01,1,10,2026-09-10,2029-02-06,
TSTD-0013,TSTD,ASMBLD-0013,ASMBLD,1,1,PLT03,01,01,1,10,2025-09-05,2028-05-27,
FPN-0014,FPN,PKGD-0014,PKGD,1,1,PLT02,02,01,1,10,2027-01-29,2027-10-06,
PKGD-0014,PKGD,TSTD-0014,TSTD,1,1,PLT02,02,01,1,10,2027-11-03,2030-02-23,
TSTD-0014,TSTD,ASMBLD-0014,ASMBLD,1,1,PLT02,02,01,1,10,2026-11-30,2027-06-10,
ASMBLD-0014,ASMBLD,MODULE-0014-A,MODULE,1,1,PLT02,02,01,1,10,2027-10-01,2028-07-15,
ASMBLD-0014,ASMBLD,MODULE-0014-B,MODULE,1,1,PLT02,02,01,1,20,2027-06-07,2028-12-08,
ASMBLD-0014,ASMBLD,MODULE-0014-C,MODULE,1,1,PLT02,02,01,1,30,2027-07-31,2030-01-20,
MODULE-0014-A,MODULE,CHIP-0014-01,CHIP,4,1,PLT02,02,01,1,32,2027-12-05,2030-03-30,
MODULE-0014-B,MODULE,CHIP-0014-02,CHIP,4,1,PLT02,02,01,1,69,2027-06-12,2029-12-26,
MODULE-0014-B,MODULE,CHIP-0014-03,CHIP,3,1,PLT02,02,01,1,41,2025-06-27,2026-10-05,
MODULE-0014-C,MODULE,CHIP-0014-02,CHIP,4,1,PLT02,02,01,1,53,2025-02-28,2027-01-15,
MODULE-0014-C,MODULE,CHIP-0014-04,CHIP,2,1,PLT02,02,01,1,72,2026-03-11,2027-09-05,
CHIP-0014-01,CHIP,DIE-1401,DIE,3,1,PLT02,02,01,1,10,2026-11-29,2028-03-09,
DIE-1401,DIE,WAFER-1401,WAFER,3,1,PLT02,02,01,1,10,2025-01-21,2026-12-31,
WAFER-1401,WAFER,FAB-1401,FAB_OUT,1,1,PLT02,02,01,1,10,2025-06-25,2026-08-26,
FAB-1401,FAB_OUT,RAW-1401,RAW,3,1,PLT02,02,01,1,10,2027-04-13,2029-02-21,
CHIP-0014-02,CHIP,DIE-1402,DIE,2,1,PLT02,02,01,1,10,2027-09-03,2029-12-22,
DIE-1402,DIE,WAFER-1402,WAFER,4,1,PLT02,02,01,1,10,2027-07-07,2030-03-24,
WAFER-1402,WAFER,FAB-1402,FAB_OUT,1,1,PLT02,02,01,1,10,2025-07-10,2026-11-03,
FAB-1402,FAB_OUT,RAW-1402,RAW,1,1,PLT02,02,01,1,10,2027-04-09,2029-09-13,
CHIP-0014-03,CHIP,DIE-1403,DIE,2,1,PLT02,02,01,1,10,2026-09-20,2029-01-26,
DIE-1403,DIE,WAFER-1403,WAFER,3,1,PLT02,02,01,1,10,2027-08-28,2029-09-12,
WAFER-1403,WAFER,FAB-1403,FAB_OUT,2,1,PLT02,02,01,1,10,2027-05-22,2029-12-20,
FAB-1403,FAB_OUT,RAW-1403,RAW,3,1,PLT02,02,01,1,10,2026-11-09,2028-05-02,
CHIP-0014-04,CHIP,DIE-1404,DIE,4,1,PLT02,02,01,1,10,2026-07-09,2027-11-14,
DIE-1404,DIE,WAFER-1404,WAFER,3,1,PLT02,02,01,1,10,2026-04-18,2027-02-15,
WAFER-1404,WAFER,FAB-1404,FAB_OUT,1,1,PLT02,02,01,1,10,2026-10-09,2027-08-07,
FAB-1404,FAB_OUT,RAW-1404,RAW,3,1,PLT02,02,01,1,10,2026-01-15,2027-01-26,
FPN-0015,FPN,PKGD-0015,PKGD,1,1,PLT01,02,01,1,10,2026-07-21,2029-01-27,
PKGD-0015,PKGD,TSTD-0015,TSTD,1,1,PLT01,02,01,1,10,2027-12-11,2030-02-09,
TSTD-0015,TSTD,ASMBLD-0015,ASMBLD,1,1,PLT01,02,01,1,10,2026-08-03,2027-05-12,
ASMBLD-0015,ASMBLD,MODULE-0015-A,MODULE,1,1,PLT01,02,01,1,10,2026-08-30,2027-10-16,
MODULE-0015-A,MODULE,CHIP-0015-01,CHIP,2,1,PLT01,02,01,1,48,2025-01-29,2027-07-23,
MODULE-0015-A,MODULE,CHIP-0015-02,CHIP,2,1,PLT01,02,01,1,45,2025-04-04,2025-11-25,
